127.0.0.1 - - [03/Oct/2021:12:49:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Oct/2021:12:49:03 +0900] "GET /carrot/order_form_second.jsp HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [03/Oct/2021:12:49:14 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 7326
0:0:0:0:0:0:0:1 - - [03/Oct/2021:12:49:14 +0900] "GET /carrot/css/orderform.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:12:55:05 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 7344
0:0:0:0:0:0:0:1 - - [03/Oct/2021:12:55:05 +0900] "GET /carrot/css/style.css?v=2 HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [03/Oct/2021:12:55:05 +0900] "GET /carrot/img/shoe_1.png HTTP/1.1" 200 16284
0:0:0:0:0:0:0:1 - - [03/Oct/2021:12:55:05 +0900] "GET /carrot/css/header.css HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [03/Oct/2021:12:55:05 +0900] "GET /carrot/css/home.css HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [03/Oct/2021:12:55:05 +0900] "GET /carrot/css/footer.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Oct/2021:12:55:05 +0900] "GET /carrot/css/signup.css HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [03/Oct/2021:12:55:05 +0900] "GET /carrot/css/shoes.css HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [03/Oct/2021:12:55:05 +0900] "GET /carrot/css/login.css HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [03/Oct/2021:12:55:05 +0900] "GET /carrot/css/orderform.css HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [03/Oct/2021:12:55:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:02:01 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 7577
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:02:01 +0900] "GET /carrot/css/style.css?v=2 HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:02:01 +0900] "GET /carrot/img/shoe_1.png HTTP/1.1" 200 16284
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:02:01 +0900] "GET /carrot/css/header.css HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:02:01 +0900] "GET /carrot/css/home.css HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:02:01 +0900] "GET /carrot/css/footer.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:02:01 +0900] "GET /carrot/css/login.css HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:02:01 +0900] "GET /carrot/css/signup.css HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:02:01 +0900] "GET /carrot/css/orderform.css HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:02:01 +0900] "GET /carrot/css/shoes.css HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:02:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:27:31 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 7670
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:27:31 +0900] "GET /carrot/css/style.css?v=2 HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:27:31 +0900] "GET /carrot/img/shoe_1.png HTTP/1.1" 200 16284
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:27:31 +0900] "GET /carrot/css/header.css HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:27:31 +0900] "GET /carrot/css/home.css HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:27:31 +0900] "GET /carrot/css/signup.css HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:27:31 +0900] "GET /carrot/css/footer.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:27:31 +0900] "GET /carrot/css/login.css HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:27:31 +0900] "GET /carrot/css/shoes.css HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:27:31 +0900] "GET /carrot/css/orderform.css HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:27:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:28:12 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 7785
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:28:12 +0900] "GET /carrot/css/style.css?v=2 HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:28:12 +0900] "GET /carrot/img/shoe_1.png HTTP/1.1" 200 16284
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:28:12 +0900] "GET /carrot/css/header.css HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:28:12 +0900] "GET /carrot/css/home.css HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:28:12 +0900] "GET /carrot/css/footer.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:28:12 +0900] "GET /carrot/css/signup.css HTTP/1.1" 200 1009
